ID_REF,Gene Symbol,Gene Title,Normal_Mean,Tumor_Mean,Log2_Fold_Change,P_Value,Adjusted_P_Value
207175_at,ADIPOQ,"adiponectin, C1Q and collagen domain containing",5855.035976744186,1737.7806279069764,-1.7518484894200355,3.660197116474666e-14,4.078008617320249e-10
209699_x_at,AKR1C2 /// LOC101930400,"aldo-keto reductase family 1, member C2 /// aldo-keto reductase family 1 member C2-like",5462.430395348836,1354.5364558139536,-2.01094316585562,1.9450024672903215e-14,4.078008617320249e-10
216594_x_at,AKR1C1,"aldo-keto reductase family 1, member C1",5135.710255813954,1957.4834186046514,-1.39110778466707,9.659205173994369e-14,4.739027258911835e-10
213524_s_at,G0S2,G0/G1 switch 2,4663.866046511626,1692.5870000000002,-1.4617535537573356,6.424881859245607e-14,4.739027258911835e-10
204151_x_at,AKR1C1,"aldo-keto reductase family 1, member C1",6778.6203953488375,2292.6815348837217,-1.5635394012561066,1.0633728086235775e-13,4.739027258911835e-10
203980_at,FABP4,"fatty acid binding protein 4, adipocyte",7957.622558139536,2778.5602093023263,-1.517662124048913,1.8514332342634266e-13,6.281043208765998e-10
213348_at,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)",2656.579813953489,1301.667813953488,-1.0286437830503075,2.0315897840989408e-13,6.281043208765998e-10
221748_s_at,TNS1,tensin 1,5609.990697674418,2440.9671395348846,-1.2002117342500358,2.255008107980433e-13,6.281043208765998e-10
209763_at,CHRDL1,chordin-like 1,3277.130511627907,1592.701604651163,-1.0404917604937909,5.625112781985995e-13,1.139494437463581e-09
209493_at,PDZD2,PDZ domain containing 2,2177.939139534884,769.3319534883722,-1.5000737258777639,9.074460190082974e-13,1.6850516367968243e-09
210201_x_at,BIN1,bridging integrator 1,1793.3002093023256,698.730372093023,-1.3585502728138132,1.056631759240721e-12,1.8111481147046914e-09
205382_s_at,CFD,complement factor D (adipsin),4895.11184883721,802.8481883720932,-2.606641545445601,1.1767986627576314e-12,1.87304318587345e-09
215695_s_at,GYG2,glycogenin 2,3426.6069069767445,734.4725627906975,-2.2204582372667816,1.4419557949479266e-12,1.946770000517999e-09
209210_s_at,FERMT2,fermitin family member 2,4825.225790697673,2258.174906976744,-1.095099442779674,1.3507135201035462e-12,1.946770000517999e-09
207092_at,LEP,leptin,2855.5108883720936,415.9741674418604,-2.7762241160547827,1.4852169819506342e-12,1.946770000517999e-09
203548_s_at,LPL,lipoprotein lipase,4341.11358139535,779.657718604651,-2.475635425852036,1.6588513878602427e-12,2.0535658597605438e-09
212636_at,QKI,"QKI, KH domain containing, RNA binding",1985.3416046511627,972.1290465116281,-1.0294107158639236,1.8965500373595248e-12,2.2242539201306467e-09
212741_at,MAOA,monoamine oxidase A,3102.0668604651164,580.8656697674419,-2.414936748025943,2.138443793419839e-12,2.3825471524387135e-09
203549_s_at,LPL,lipoprotein lipase,6228.645813953486,2497.3404651162796,-1.3181800454755395,2.3065765326054048e-12,2.4474973750498207e-09
221246_x_at,TNS1,tensin 1,2135.8962325581397,1035.8459069767443,-1.0433153516481761,2.7518993436564816e-12,2.787298776122608e-09
49452_at,ACACB,acetyl-CoA carboxylase beta,3697.423976744186,1051.767958139535,-1.8127231354133537,2.9055907380843275e-12,2.8150121050753507e-09
203323_at,CAV2,caveolin 2,4200.64788372093,1776.6638372093023,-1.2409727319832362,3.3770916049722164e-12,2.9890662784747793e-09
210517_s_at,AKAP12,A kinase (PRKA) anchor protein 12,2662.8746279069765,1039.656339534884,-1.356032465445761,3.698281464245607e-12,2.9890662784747793e-09
218087_s_at,SORBS1,sorbin and SH3 domain containing 1,3105.705279069768,634.739230232558,-2.2888783629395015,3.810652163362509e-12,2.9890662784747793e-09
219140_s_at,RBP4,"retinol binding protein 4, plasma",3211.8856883720923,301.28230465116286,-3.4099012195000284,3.660044612534542e-12,2.9890662784747793e-09
219295_s_at,PCOLCE2,procollagen C-endopeptidase enhancer 2,2883.531511627908,597.8303558139535,-2.2681177627565368,3.2618098165626343e-12,2.9890662784747793e-09
203414_at,MMD,monocyte to macrophage differentiation-associated,3536.374093023255,1673.117023255814,-1.0792784205858654,3.890092091539227e-12,2.9890662784747793e-09
